image,width,height,username,x,y,timestamp
bb1ef8_d325c0_txt_zjTGQVGGph,1187,668,d325c0,581.141972899437,332.66694366931915,0.2686903178691864
bb1ef8_d325c0_txt_zjTGQVGGph,1187,668,d325c0,368.8654592335224,288.7525511980057,0.30434954166412354
bb1ef8_d325c0_txt_zjTGQVGGph,1187,668,d325c0,164.5183140784502,286.14070761203766,0.2968252897262573
bb1ef8_d325c0_txt_zjTGQVGGph,1187,668,d325c0,107.2704628109932,327.29195606708527,0.3570697605609894
bb1ef8_d325c0_txt_zjTGQVGGph,1187,668,d325c0,82.06907640397549,358.99148654937744,0.35143136978149414
bb1ef8_d325c0_txt_zjTGQVGGph,1187,668,d325c0,45.36309337615967,363.1936569213867,0.34544607996940613
bb1ef8_d325c0_txt_zjTGQVGGph,1187,668,d325c0,23.031386855989695,369.998473405838,0.36541664600372314
bb1ef8_d325c0_txt_zjTGQVGGph,1187,668,d325c0,5.472545567899942,360.5766372680664,0.3549642562866211
bb1ef8_d325c0_txt_zjTGQVGGph,1187,668,d325c0,-10.049126211553812,350.4683749675751,0.381831556558609
bb1ef8_d325c0_txt_zjTGQVGGph,1187,668,d325c0,-7.808088522404432,360.20069551467896,0.3803873360157013
bb1ef8_d325c0_txt_zjTGQVGGph,1187,668,d325c0,-54.43748700991273,315.2632931470871,0.397635817527771
13349c_d325c0_txt_WVIdS9j4m8,1186,668,d325c0,584.061498105526,309.2360016107559,0.3161807060241699
13349c_d325c0_txt_WVIdS9j4m8,1186,668,d325c0,567.0445576906204,263.5939772129059,0.3350833058357239
13349c_d325c0_txt_WVIdS9j4m8,1186,668,d325c0,587.0734341740608,245.93476831912994,0.34640029072761536
13349c_d325c0_txt_WVIdS9j4m8,1186,668,d325c0,626.8671205043793,262.16424787044525,0.3660655617713928
13349c_d325c0_txt_WVIdS9j4m8,1186,668,d325c0,642.122261762619,276.8608549833298,0.38095608353614807
13349c_d325c0_txt_WVIdS9j4m8,1186,668,d325c0,661.9902099370956,286.8040803670883,0.38324517011642456
13349c_d325c0_txt_WVIdS9j4m8,1186,668,d325c0,667.5680918693542,298.52361261844635,0.40846946835517883
13349c_d325c0_txt_WVIdS9j4m8,1186,668,d325c0,671.1836593151093,291.4697277545929,0.400515615940094
13349c_d325c0_txt_WVIdS9j4m8,1186,668,d325c0,658.8511712551117,300.73124516010284,0.4066510796546936
13349c_d325c0_txt_WVIdS9j4m8,1186,668,d325c0,653.0114494562149,299.53617084026337,0.41723281145095825
13349c_d325c0_txt_WVIdS9j4m8,1186,668,d325c0,651.8712018728256,301.4314476251602,0.43486252427101135
13349c_d325c0_txt_WVIdS9j4m8,1186,668,d325c0,666.7819360494614,295.90822541713715,0.43702632188796997
13349c_d325c0_txt_WVIdS9j4m8,1186,668,d325c0,688.5026981830597,299.9333145618439,0.41314277052879333
13349c_d325c0_txt_WVIdS9j4m8,1186,668,d325c0,687.9260708093643,307.8434005975723,0.4171449840068817
13349c_d325c0_txt_WVIdS9j4m8,1186,668,d325c0,703.6021069288254,298.12234795093536,0.4354167878627777
13349c_d325c0_txt_WVIdS9j4m8,1186,668,d325c0,723.4634808301926,301.27702164649963,0.44336894154548645
13349c_d325c0_txt_WVIdS9j4m8,1186,668,d325c0,748.4583016633987,314.92802333831787,0.4592764675617218
13349c_d325c0_txt_WVIdS9j4m8,1186,668,d325c0,774.1304847002029,313.7322323322296,0.4070161283016205
c3f5f9_d325c0_txt_doubwXanpb,1080,1920,d325c0,534.7549188137054,1023.3816146850586,0.33838096261024475
c3f5f9_d325c0_txt_doubwXanpb,1080,1920,d325c0,460.185409784317,924.8077011108398,0.4033864438533783
c3f5f9_d325c0_txt_doubwXanpb,1080,1920,d325c0,438.77092123031616,946.1373138427734,0.43432071805000305
c3f5f9_d325c0_txt_doubwXanpb,1080,1920,d325c0,458.92900943756104,1087.9038619995117,0.4882889986038208
c3f5f9_d325c0_txt_doubwXanpb,1080,1920,d325c0,468.57569217681885,1181.3794326782227,0.5095264315605164
c3f5f9_d325c0_txt_doubwXanpb,1080,1920,d325c0,465.34284710884094,1233.2975006103516,0.5118672251701355
d1ef30_d325c0_txt_kB_ZKx43TO,1080,1920,d325c0,519.4080054759979,1046.9413375854492,0.2452625334262848
